time_diff,event_score,num_performers,performer_score,upcoming_events,genre,venue_score,venue_lat,venue_lon,listing_count,median_price
0.11939,0.447,1,0.34,28,Pop,0.52,29.8921,-81.3143,3,94.0
0.14022,0.437,2,0.3,21,Alternative,0.47,42.3529,-71.1326,5,50.0
0.14022,0.495,1,0.44,43,Rock,0.49,39.9698,-83.0098,5,123.0
0.18189,0.511,1,0.28,6,Alternative,0.43,38.3532,-81.6397,152,78.0
0.18189,0.0,1,0.33,6,Pop,0.31,41.3162,-74.2891,7,131.0
0.18189,0.0,1,0.56,2,Pop,0.5,40.7349,-73.9884,19,226.0
0.18189,0.34,1,0.32,39,Pop,0.41,40.9861,-75.1914,2,36.0
0.18189,0.398,1,0.23,1,Alternative,0.32,40.1107,-85.6664,66,52.0
0.18189,0.457,2,0.42,31,Alternative,0.5,42.4873,-83.1474,1,145.0
0.18189,0.535,1,0.43,9,Pop,0.53,40.2864,-76.6691,233,157.0
0.18189,0.504,1,0.45,5,Rap,0.5,38.9199,-76.9724,22,44.0
0.18189,0.0,1,0.36,22,Alternative,0.27,40.6526,-74.3248,2,57.0
0.18189,0.457,1,0.49,1,Rap,0.6,42.6366,-83.2914,1,136.0
0.18189,0.395,1,0.38,6,Rnb,0.41,28.543,-81.3794,3,138.0
0.18189,0.523,2,0.41,9,Electronic,0.55,42.3474,-71.0957,8,170.0
0.18189,0.384,2,0.34,7,Alternative,0.44,40.7697,-111.903,5,86.0
0.18189,0.443,1,0.26,1,Rock,0.5,42.3521,-71.1194,1,50.0
0.20272,0.371,1,0.43,52,Country,0.48,37.5419,-77.4352,2,23.0
0.20272,0.547,1,0.46,56,Rock,0.61,36.058,-79.8248,509,156.0
0.20272,0.414,1,0.32,5,Alternative,0.49,28.3684,-81.5224,7,64.0
0.20272,0.509,2,0.34,20,Rock,0.54,42.3382,-83.0525,184,103.0
0.20272,0.352,1,0.4,16,Folk,0.48,38.8386,-77.0622,3,104.0
0.20272,0.336,2,0.33,37,Alternative,0.4,42.1017,-75.9125,1,151.0
0.20272,0.0,1,0.32,11,Country,0.3,37.4175,-79.1439,4,144.0
0.20272,0.0,1,0.36,28,Alternative,0.45,40.3356,-75.9269,42,109.0
0.20272,0.611,1,0.46,1,Rap,0.66,41.8806,-87.674,65,91.0
0.20272,0.463,1,0.38,3,Pop,0.52,33.7587,-84.3914,69,124.0
0.22356,0.484,1,0.3,3,Jazz,0.41,38.0307,-78.4815,1,51.0
0.22356,0.358,1,0.38,6,Rock,0.45,44.4689,-73.1757,1,61.0
